Time,Width,Height,Base X,Base Y,Pos X,Pos Y,Diameter,Angle_X,Angle_Y
-0.028085947036743164,1200,675,593,609,576,67,43.4195442199707,-1.7965111242600784,-16.533452634867615
0.11936688423156738,1200,675,593,609,563,88,39.86534881591797,-3.295542102297503,-21.322211393824574
0.24398493766784668,1200,675,593,609,558,94,39.86814498901367,-3.887909560833066,-21.31827854457748
0.36961984634399414,1200,675,593,609,565,89,48.74669647216797,-3.0821808245281517,-10.04424598921176
0.4921259880065918,1200,675,593,609,584,67,46.325138092041016,-0.951318503130338,-12.901317134196745
0.620851993560791,1200,675,593,609,606,61,42.27821731567383,1.3589515639648084,-18.02710763503859
0.7479469776153564,1200,675,593,609,627,60,41.990230560302734,3.543846410962061,-18.410367420398387
0.8711509704589844,1200,675,593,609,646,58,41.20292282104492,5.494305944528975,-19.47170597588834
0.9943721294403076,1200,675,593,609,653,54,41.868282318115234,6.170175095029606,-18.57345193881696
1.1181139945983887,1200,675,593,609,668,63,48.33271789550781,7.821352104374938,-10.522476624024051
1.2427890300750732,1200,675,593,609,693,77,42.388607025146484,10.645663344960312,-17.8808900499003
1.3673269748687744,1200,675,593,609,725,81,46.141483306884766,14.036243467926468,-13.124059009315005
1.4910919666290283,1200,675,593,609,757,84,41.64622116088867,17.347810343496846,-18.871643782389697
1.614490032196045,1200,675,593,609,794,103,29.89823341369629,21.664619003892028,-37.454877117275515
1.7398598194122314,1200,675,593,609,837,117,48.91450500488281,26.37842063351242,-9.851548327027416
1.8645029067993164,1200,675,593,609,884,143,47.828922271728516,31.983274091097464,-11.110020823744321
1.9879570007324219,1200,675,593,609,926,164,50.20475387573242,36.8080454429767,-8.391645282059045
2.113474130630493,1200,675,593,609,952,185,44.64894104003906,40.25452629709523,-14.967841820358927
2.235196828842163,1200,675,593,609,954,198,47.811283111572266,41.29430914212997,-11.130704200819366
2.359477996826172,1200,675,593,609,949,206,43.32455825805664,41.45656451865486,-16.656254137830757
2.4821338653564453,1200,675,593,609,953,214,42.755313873291016,42.34580448659338,-17.397884521902284
2.6056277751922607,1200,675,593,609,962,220,43.73805236816406,43.488588680621284,-16.123624965982913
2.732043981552124,1200,675,593,609,974,227,44.28337860107422,44.92490727823435,-15.42882856027154
2.8591840267181396,1200,675,593,609,988,238,44.56501007080078,46.79458095218039,-15.07334696420341
2.9813921451568604,1200,675,593,609,1000,253,43.416786193847656,48.82404278469659,-16.5370145285668
3.1043670177459717,1200,675,593,609,1010,271,43.56623840332031,50.97345042074871,-16.344327578059477
