Time,Width,Height,Base X,Base Y,Pos X,Pos Y,Diameter,Angle_X,Angle_Y
-0.01870584487915039,1200,675,593,609,990,300,38.327735900878906,52.1050387417919,-23.527770499984
0.12428116798400879,1200,675,593,609,960,245,39.85247802734375,45.23513867789626,-21.340317862193103
0.24856805801391602,1200,675,593,609,931,205,41.21513366699219,39.91698714922976,-19.455090704951942
0.37340211868286133,1200,675,593,609,897,165,42.44314956665039,34.39884513634789,-17.80878577531118
0.4982903003692627,1200,675,593,609,858,129,43.64542007446289,28.9023570362018,-16.242507300037715
0.6232593059539795,1200,675,593,609,812,99,45.39095687866211,23.239254651258534,-14.043628859445647
0.7489521503448486,1200,675,593,609,766,74,47.5278205871582,17.919365173978463,-11.464138219487126
0.8749451637268066,1200,675,593,609,715,57,46.686649322509766,12.462849434934782,-12.465434033929256
0.9999322891235352,1200,675,593,609,664,47,47.948341369628906,7.200289937536311,-10.970192346736411
1.1138482093811035,1200,675,593,609,614,42,47.82426071166992,2.121096396661457,-11.115486147567879
1.2369804382324219,1200,675,593,609,565,44,47.61328125,-2.837115777050883,-11.363402790955178
1.3638503551483154,1200,675,593,609,516,51,48.31298065185547,-7.856787879264019,-10.54537939447448
1.4873542785644531,1200,675,593,609,472,61,48.053218841552734,-12.451291239903938,-10.847677665914262
1.608985185623169,1200,675,593,609,421,75,50.45532989501953,-17.853613625127622,-8.11247630417401
1.731013298034668,1200,675,593,609,362,98,53.76192855834961,-24.325575239126124,-4.553118270893464
1.8536913394927979,1200,675,593,609,316,117,53.9366569519043,-29.37986479283228,-4.371174200264761
1.9763882160186768,1200,675,593,609,276,138,54.60444641113281,-33.94197699981483,-3.6811968275832214
2.111478090286255,1200,675,593,609,238,164,54.7144775390625,-38.58121326976121,-3.5683201014555266
2.2344253063201904,1200,675,593,609,205,194,53.8792724609375,-43.07421737065545,-4.430863390178274
2.351715087890625,1200,675,593,609,175,225,53.9750862121582,-47.427544526822174,-4.331237022060122
2.4760823249816895,1200,675,593,609,152,253,54.40060806274414,-51.08758041158484,-3.8909090791115375
2.5996921062469482,1200,675,593,609,132,280,53.65607452392578,-54.4858426416441,-4.663631564501088
2.7234041690826416,1200,675,593,609,115,307,53.289268493652344,-57.71533698889476,-5.048276778752751
2.8476181030273438,1200,675,593,609,99,334,52.960472106933594,-60.89618119088854,-5.395320814758264
2.9692420959472656,1200,675,593,609,88,361,52.19244384765625,-63.844848042491805,-6.214441029429253
3.0951812267303467,1200,675,593,609,80,387,51.287967681884766,-66.59952244480758,-7.194684777664946
3.2178542613983154,1200,675,593,609,76,408,51.47834777832031,-68.75484274072886,-6.986927955006308
3.3430233001708984,1200,675,593,609,75,427,50.2197151184082,-70.6410058243053,-8.37493775520548
3.465853214263916,1200,675,593,609,75,441,49.24806594848633,-72.030860259843,-9.470469357490487
3.587583303451538,1200,675,593,609,77,452,47.885372161865234,-73.07690551990476,-11.043879879548257
3.709111213684082,1200,675,593,609,79,454,48.09832763671875,-73.21897772410676,-10.795065155240593
3.832188367843628,1200,675,593,609,83,443,48.07764434814453,-71.97043907865091,-10.819182920017795
3.9574971199035645,1200,675,593,609,87,426,48.27297592163086,-70.11696539517988,-10.591828935474666
4.08203125,1200,675,593,609,90,404,49.030799865722656,-67.82641803505211,-9.718392202604747
4.208417177200317,1200,675,593,609,96,375,49.47746658325195,-64.78777359727351,-9.209884033333026
4.335942268371582,1200,675,593,609,108,337,50.462345123291016,-60.71521322160919,-8.1046805414409
4.460301160812378,1200,675,593,609,128,294,52.0189323425293,-55.88552705465875,-6.401163931474144
4.583264350891113,1200,675,593,609,156,247,52.57656478881836,-50.36248915085986,-5.803271297244464
4.709047079086304,1200,675,593,609,196,199,55.184505462646484,-44.077099486668345,-3.088678686792292
4.83427619934082,1200,675,593,609,241,156,57.594993591308594,-37.84870520338582,-0.6913641310144385
4.9561662673950195,1200,675,593,609,292,125,58.24966049194336,-31.877514840464187,-0.05759212618636411
5.070175409317017,1200,675,593,609,345,101,60.083473205566406,-26.021120244286564,1.680478520182362
5.198298215866089,1200,675,593,609,401,84,53.93815612792969,-20.08818807214766,-4.369615665071535
5.321048259735107,1200,675,593,609,452,71,49.3575439453125,-14.685884300574045,-9.345957865158567
5.443686246871948,1200,675,593,609,498,56,51.472686767578125,-9.747707557177819,-6.993094576687639
5.565269231796265,1200,675,593,609,543,51,49.81987380981445,-5.120355543039523,-8.823168988558507
5.687729358673096,1200,675,593,609,584,54,47.503944396972656,-0.9290393194220599,-11.492314280866168
